"","longitude","latitude","date","year","time_frame"
"1",-80.3424064204,43.3775565036,2019-03-28,2019,"T2"
"2",-78.283542,44.469156,2006-06-28,2006,"T2"
"3",-92.7550443333,45.0149037667,2019-03-27,2019,"T2"
"4",-85.7032422823,37.8957224064,2019-03-26,2019,"T2"
"5",-82.8320198225,42.0360317795,2019-03-24,2019,"T2"
"6",-91.761635428,31.8124226895,2019-03-23,2019,"T2"
"7",-76.325237,45.435773,2019-01-12,2019,"T2"
"8",-85.9440111645,32.2120838262,2019-03-21,2019,"T2"
"9",-81.8545611111,42.5194944444,2019-03-18,2019,"T2"
"10",-76.223361,45.090422,2018-12-15,2018,"T2"
"11",-80.4270944444,43.3811194444,2019-03-17,2019,"T2"
"12",-80.4180722222,43.3684416667,2019-03-17,2019,"T2"
"13",-80.4223666667,43.3802083333,2019-03-17,2019,"T2"
"14",-76.696045,44.2229366667,2019-03-13,2019,"T2"
"15",-77.936041702,42.7011216849,2019-03-10,2019,"T2"
"16",-75.797456,45.371559,2018-10-20,2018,"T2"
"17",-75.797853,45.372879,2018-10-20,2018,"T2"
"18",-80.445335004,43.3863228692,2019-03-01,2019,"T2"
"19",-73.2791667146,44.6272365075,2018-08-14,2018,"T2"
"20",-79.7603533333,44.4346716667,2019-03-01,2019,"T2"
"21",-88.9664268,42.4219359,2018-05-08,2018,"T2"
"22",-87.12398001,32.3168727989,2019-02-26,2019,"T2"
"23",-75.1719481823,45.0394867493,2019-02-26,2019,"T2"
"24",-87.1239471667,32.3168666667,2019-02-26,2019,"T2"
"25",-87.1237618417,32.3168232351,2019-02-26,2019,"T2"
"26",-83.7948216667,40.0593638333,2019-02-23,2019,"T2"
"27",-80.1060471667,43.4190216667,2019-02-24,2019,"T2"
"28",-81.1844106385,43.0742835952,2019-02-21,2019,"T2"
"29",-77.2053989953,44.4309102534,2012-08-21,2012,"T2"
"30",-92.101171,44.401884,2000-09-30,2000,"T2"
"31",-77.1224387692,43.9929883705,2018-10-12,2018,"T2"
"32",-81.1943805556,43.0718638889,2019-02-18,2019,"T2"
"33",-79.3326321767,43.7021348294,2018-06-17,2018,"T2"
"34",-80.2285110694,43.3168328296,2019-01-27,2019,"T2"
"35",-76.8680535885,43.9461151438,2008-05-14,2008,"T2"
"36",-76.9035716667,42.7162366667,2019-02-11,2019,"T2"
"37",-80.3490310964,43.3366564385,2019-02-09,2019,"T2"
"38",-77.7442998857,44.2854286853,2011-08-27,2011,"T2"
"39",-88.2214156098,41.4089375826,2019-02-05,2019,"T2"
"40",-88.221801,41.407785,2019-02-03,2019,"T2"
"41",-87.7784095814,42.0013326693,2019-02-03,2019,"T2"
"42",-87.79090003,42.00706733,2019-02-03,2019,"T2"
"43",-76.5304022376,44.2877060585,2019-02-02,2019,"T2"
"44",-76.6518959776,44.1749207135,2019-02-02,2019,"T2"
"45",-75.347619,45.259497,2018-08-11,2018,"T2"
"46",-88.2687198808,41.7527323927,2018-09-08,2018,"T2"
"47",-75.853556,45.320826,2018-07-15,2018,"T2"
"48",-85.8221297302,32.2282230671,2012-04-26,2012,"T2"
"49",-89.4743974179,40.85018817,2019-01-18,2019,"T2"
"50",-80.1106866296,43.4154957375,2016-09-04,2016,"T2"
"51",-80.9847292761,43.251334198,2019-01-16,2019,"T2"
"52",-93.4993802298,44.8988595797,2018-05-01,2018,"T2"
"53",-75.837197,44.540219,2018-07-01,2018,"T2"
"54",-73.2090223886,43.8505161001,2019-01-07,2019,"T2"
"55",-77.3187289,44.4849793869,2018-07-01,2018,"T2"
"56",-79.9294444444,43.290825,2019-01-05,2019,"T2"
"57",-75.22436,45.206806,2018-06-17,2018,"T2"
"58",-74.154966,45.111696,2018-06-09,2018,"T2"
"59",-74.277477,45.066377,2018-06-09,2018,"T2"
"60",-75.351828,45.51898,2019-01-03,2019,"T2"
"61",-79.97853,43.5103866667,2018-12-30,2018,"T2"
"62",-76.31755,44.829045,2018-04-29,2018,"T2"
